,name,CIN,NIC,amount
387,Devyani Food Industries Limited,U74899DL1991PLC046403,74.0,2630000
388,Dfm Foods Limited,L15311DL1993PLC052624,10.0,1500000
389,Dhampur Sugar Mills Limited,L15249UP1933PLC000511,15.0,500000
390,Dhanuka Laboratories Limited,U24100DL1993PLC052285,24.0,100000
391,Dharam Pal Prem Chand Ltd,U74100DL1972PLC006062,74.0,1176185
392,Dhunseri Tea & Industries Limited,L15500WB1997PLC085661,15.0,2000000
393,Dickinson Fowler Private Limited,U29219MH1998PTC115973,29.0,203054
394,Diffusion Engineers Limited,U99999MH2000PLC124154,,393950
395,Digboi Carbon Private Limited,U23109AS2004PTC007590,,0
396,Dipco Estates Private Limited,U70100MH1973PTC016912,68.0,1000000
397,Dishman Pharmaceuticals And Chemicals Limited,L24230GJ1983PLC006329,21.0,10250000
398,Distant Frontiers Tours Private Limited,U74899MH1994FTC213883,,23049
399,Dlf Limited,L70101HR1963PLC002484,68.0,27200000
400,Dmi Finance Private Limited,U65929DL2008PTC182749,65.0,2800000
401,Dnp Limited,U51410AS2007SGC008410,51.0,0
402,Dollar Industries Limited,L17299WB1993PLC058969,13.0,2000000
403,Doosan Power Systems India Private Limited,U31101DL2000PTC258626,,1490664
404,Dosti Land Developers Pvt Ltd,U45202MH1982PTC028492,,500000
405,Dotex International Limited,U72900MH2000PLC126952,72.0,26861
406,Dow Agrosciences India Private Limited,U01110MH1994PTC083566,,8969740
407,Dresser Valve India Private Limited,U29100TZ1995PTC014379,,1046205
408,Dsl Hydrowatt Limited,U40101HP2001PLC024791,40.0,1600000
409,Dsp Blackrock Investment Managers Private Limited,U74140MH1996PTC099483,74.0,1000000
410,Dsp Merrill Lynch Capital Limited,U65990MH2005PLC152497,65.0,31480000
411,Dss Imagetech Private Limited,U33201DL1998PTC094932,,12200
412,Dte Exports Pvt Ltd,U16001AP1994PTC017972,,700000
413,Durovalves India Private Limited,U34300MH1997PTC105518,29.0,0
414,E I Dupont India Private Limited,U24299HR1998PTC034086,24.0,575620
415,E-Infochips Limited,U72200GJ1988PLC010830,72.0,3200000
416,E.I.D Parry (India) Limited,L24211TN1975PLC006989,20.0,333000
417,East India Udyog Ltd,U31102WB1966PLC026834,31.0,92000
418,Eaton Industries Private Limited,U29299PN1999PTC018053,,4682000
419,Ecl Finance Limited,U65990MH2005PLC154854,65.0,19346989
420,Economic Explosives Limited,U24292MH1995PLC091808,24.0,10027000
421,Edelweiss Finance & Investments Limited,U67120AP1994PLC052372,66.0,200000
422,Edelweiss Finvest Private Limited,,,100000
423,Efd Induction Private Limited,U31109KA1991PTC011854,31.0,1913979
424,Eimco Elecon (India ) Limited,L29199GJ1974PLC002574,29.0,4323000
425,Ekta Housing Private Limited,U45200MH1990PTC058279,,2971000
426,Elantas Beck India Limited,L24222PN1956PLC134746,20.0,993000
427,Elecon Engineering Company Limited,L29259GJ1960PLC001082,29.0,14192000
428,Elecon Epc Projects Limited.,U29219GJ1991PLC015379,29.0,105000
429,Electro Pneumatics And Hydraulics (India) Pvt Ltd,U28932MH1983PTC030253,,0
430,Electronica Finance Limited,U65910PN1990PLC057017,64.0,100000
431,Electronics Corporation Of India Limited,U32100TG1967GOI001149,,7031000
432,Electronics Corporation Of Tamilnadu Limited,U27209TN1977SGC007291,24.0,1512000
433,Elegant Marbles And Grani Industries Limited,L14101RJ1984PLC003134,14.0,1000000
434,Elgi Equipments Limited,L29120TZ1960PLC000351,29.0,23055000
435,Elgi Rubber Company Limited,L25119TZ2006PLC013144,25.0,3750000
436,Elgi Ultra Industries Limited,U29253TZ1981PLC001104,29.0,1415000
437,Emami Agrotech Limited,U24233WB2002PLC094530,21.0,300000
438,Emco Goa Private Limited,U13209GA1965PTC000046,,1940000
439,Emco Limited,L31102MH1964PLC013011,31.0,2000
440,Emcure Pharmaceuticals Limited,U24231PN1981PLC024251,21.0,29500000
441,Emerson Electric Company (India) Private  Limited,,,228000
442,Emerson Process Management (India) Private Limited,U29196MH1981PTC024115,29.0,200000
443,Emerson Process Management Power And Water Solutions India Private Limited,U40109DL1997FTC085582,40.0,585000
444,Emtici Engineering Limited,U29259GJ1956PLC001509,29.0,2350000
445,Emulex Communications Private Limited,U72900KA2001PTC028447,,2063752
446,Enam Asset Management Company Private Lmited,U65991MH1997PTC111056,65.0,865690
447,Endurance Technologies Private Limited (Cn),U34102MH1999PTC123296,29.0,1600000
448,Enpro Industries Private Limited,U74210PN1999PTC013421,,1011000
449,Entertainment Network (India) Limited,L92140MH1999PLC120516,90.0,7143200
450,Epc Industrie Limited,L25200MH1981PLC025731,25.0,1099980
451,Ericsson India Private Limited,U74120DL2008FTC180337,,1250000
452,Eros International Media Limited,L99999MH1994PLC080502,99.0,5500000
453,Esab India Limited,L29299TN1987PLC058738,29.0,948000
454,Escapade Resorts Pvt Ltd,U55102KL1991PTC006000,,100000
455,Escorts Limited,L74899HR1944PLC039088,74.0,4600000
456,Ess Kay Fincorp Private Limited,,,1960000
457,Essar Bulk Terminal (Salaya) Limited,U63032MH2007PLC176225,63.0,1475000
458,Essar Ports Limited,U85110GJ1975PLC054824,,6861000
459,Essel Mining & Industries Ltd.,U51109WB1950PLC018728,51.0,22500000
460,Essen Multipack Limited,U25209GJ1994PLC022139,,370200
461,Eta Constructions(India) Limited,U85110TN1995PLC064362,,1800000
462,Etisalat Software Solutions Private Limited,U72200KA2007PTC042080,,1362937
463,Euro Footwear Private Limited,U19201UP2000PTC025269,,2872668
464,Everest Industries Limited,L74999MH1934PLC002093,74.0,299000
465,Evry India Private Limited,U72200KA2006PTC038899,,500000
466,Excel Crop Care Ltd,L74999MH1964PLC012878,74.0,7595000
467,Excel Industries Limited,L24200MH1960PLC011807,24.0,1981000
468,Exfo Electro-Optical Engineering India Private Limited,U72900PN2006PTC129263,,341939
469,Exide Industries Limited,L31402WB1947PLC014919,31.0,300000
470,Exl Service.Com(India) Private Limited,U72200DL1999PTC099888,,203750
471,Express Newspapers Private Limited,U70101TN1956PTC003445,68.0,8534006
472,Extreme Networks India Private Limited,U72100TN2004PTC054682,,1000000
473,Exxonmobil Company India Private Limited,U45303MH1996PTC099555,,5420000
474,Eye Foundation Limited,U03311TZ1997PLC011249,,0
475,Eygbs (India) Private Limited,U74140KA2006PTC040620,,2596270
476,Facilities And Building Solutions Private Limited,U74140KA2005PTC035529,,1871872
477,Family Credit Limited,U65910WB1993FLC060810,64.0,8000
478,Fdc Limited,L24239MH1940PLC003176,21.0,1595000
479,Fedbank Financial Services Limited,U65910KL1995PLC008910,64.0,258500
480,Fena Private Limited,U74899DL1986PTC025829,,766000
481,Ferro Scrap Nigam Limited,U27102CT1989GOI005468,27.0,350000
482,Ferromatik Milacron India Private Limited,U74999GJ1995FTC025783,74.0,9833490
483,Fidelity Business Services India Private Limited,U72200KA2002PTC056311,,3140000
484,Fidelity Information Services India Private Limited,U72200DL2002PTC114964,,2737383
485,Fiem Industries Limited,L36999DL1989PLC034928,36.0,600000
486,Filatex India Ltd(Tr.Co.From Delhi),L17119DN1990PLC000091,17.0,41798
487,Finolex Industries Limited,L40108PN1981PLC024153,40.0,20500000
488,Firefox Bikes Private Limited,U35921DL2004PTC130190,,0
489,Fisher Biopharma Services (India) Private Limited,U73100GJ2006PTC047438,,2273000
490,Fleetguard Filters Private Limited,U29197MH1987PTC042672,29.0,6791000
491,Flextronics Technologies (India) Private Limited,U31909TN2001PTC070708,31.0,1825748
492,Flight Raja Travels Private Limited,U63040KA2007PTC041672,63.0,345850
493,Flometallic India Private Limited,U28113TN2010PTC075244,,520000
494,Flow Link Systems Private Limited,U29120TZ1992PTC003779,29.0,600000
495,Fluidomat Limited,L74210MP1978PLC001452,74.0,950000
496,Fluor Daniel India Private Limited,U74899DL1995PTC070677,,925258
497,Fnf India Private Limited,,,0
498,Ford Motor Private Limited,U74120TN1998PTC041070,,1014500
499,Forech India Private Limited,U51109DL1983PTC015047,,275000
500,Forge And Forge Private Limited,U28910GJ1974PTC002548,,2000000
501,Fortune Park Hotels Limited,U55101HR1995PLC052281,55.0,1618000
502,Foseco India Limited,L24294PN1958PLC011052,24.0,3656000
503,Fossil India Private Limited,U18101KA2007PTC071705,,237702
504,Franklin Templeton Asset Management (India) Private Limited,U67190MH1995PTC093356,66.0,10134305
505,Freewill Sports Private Limited,U36939PB1984PTC006013,,1050000
506,Freight Connection India Private Limited,U35110MH1995PTC085229,35.0,800000
507,Fresenius Kabi Oncology Limited,U24231DL2003PLC119441,21.0,4893000
508,Frick India Limited,L74899HR1962PLC002618,74.0,400000
509,Fullerton India Credit Company Limited,U65191TN1994PLC079235,64.0,4654079
510,Futura Bioplants Private Limited,U01122PN2008PTC131951,,802550
511,Future Gaming And Hotel Services Private Limited,U51901TZ1991PTC003583,,8851270
512,G M Breweries Limited,L15500MH1981PLC025809,15.0,2091000
513,Gabriel India Limited,L34101PN1961PLC015735,29.0,9740000
514,Gadre Marine Export Pvt Ltd,U51223PN1994PTC078366,,1250327
515,Gagandeep Credit Capital Private Limited,U65990MH1993PTC073769,,250000000
516,Ganesh Housing Corporation Limited,L45200GJ1991PLC015817,45.0,12264317
517,Ganesha Ecosphere Limited,L51109UP1987PLC009090,51.0,632000
518,Gannon Dunkerley And Company Limited,U51109MH1924PLC001107,51.0,21806000
519,Garden Silk Mills Limited,L17111GJ1979PLC003463,17.0,1583000
520,Garware Bestretch Limited,U24130MH1994PLC142451,20.0,10000000
521,Garware Industriees Limited,U74999MH2012PLC235072,74.0,700000
522,Garware Polyester Limited,L10889MH1957PLC010889,10.0,1821000
523,Garware Wall Ropes Limited,L25209MH1976PLC018939,25.0,2520000
524,Gateway Rail Freight Limited,U60231DL2005PLC138598,60.0,7174021
525,Gati Limited,L63011TG1995PLC020121,52.0,1220000
526,Gati-Kintetsu Express Private Limited,U62200TG2007PTC056311,62.0,3980000
527,Gaursons Hi-Tech Infrastructure Private Limited,U45201DL2006PTC145526,,26938
528,Gaursons India Limited,U74899DL1995PLC064555,,710772
529,Gayatrishakti Paper & Boards Limited,U21010MH2005PLC153451,21.0,51000
530,Ge India Exports Private Limited,U33130DL2000PTC232915,,2212000
531,General Industrial Controls Pvt Ltd,U31200MH1974PTC017615,,876000
532,Genus Innovation Limited,U51311UR1998PLC001289,51.0,1500000
533,Genus Paper & Boards Limited,L21098UP2012PLC048300,21.0,2020000
534,Genus Power Infrastructures Limited,L51909UP1992PLC051997,51.0,7900000
535,Geoenpro Petroleum Limited,U74899DL1994PLC063063,74.0,840000
536,Geometric Limited,L72200MH1994PLC077342,72.0,932326
537,George Oakes Limited,U50300TN1956PLC000758,50.0,1500000
538,Gerdau Steel India Private Limited,U27109AP1993PTC015499,,3700000
539,German Remedies Limited,U51900GJ1989PLC079501,51.0,1760000
540,Gharda Chemicals Limited,U24110MH1967PLC013688,20.0,14990000
541,Ghatge Patil Industries Limited,U31103PN1960PLC011738,31.0,1682107
542,Gina Engineering Company Private Limited,U04520KA1988PTC009201,,692942
543,Global Edge Software Limited,U85110KA1992PLC013114,86.0,1861200
544,Global Information Systems Technology Private Limited,U74899DL1990PTC040480,,2000000
545,Globe Fincap Limited.,U67120DL2008PLC176326,67.0,5000000
546,Globion India Private Limited,U24231TZ2006PTC013159,24.0,220000
547,Gloster Limited,L17119WB1992PLC054454,17.0,700000
548,Gmr Airports Limited,U65999KA1992PLC037455,65.0,4721000
549,Gmr Power Corporation Limited,U40105KA1995PLC016942,40.0,25600000
550,Gmr Vemagiri Power Generation Limited,U23201KA1997PLC032964,19.0,3208000
551,Gocl Corporation Limited,L24292TG1961PLC000876,24.0,407000
552,God Gift Properties Private Limited,U74210DL1997PTC086207,74.0,2018978
553,Godawari Power And Ispat Limited,L27106CT1999PLC013756,27.0,45111000
554,Godfrey Phillips India Limited,L16004MH1936PLC008587,12.0,30701000
555,Godhani Gems Private Limited,U74999MH2011PTC218207,,4300000
556,Godrej Agrovet Limited,U15410MH1991PLC135359,10.0,5000000
557,Godrej Consumer Products Limited,L24246MH2000PLC129806,20.0,98100000
558,Godrej Properties Limited,L74120MH1985PLC035308,69.0,525000
559,Goldman Sachs (India) Finance Private Limited,U67120MH1991PTC063512,,5100000
560,Goldman Sachs Services Private Limited,U72400KA2003PTC032606,,30500000
561,Golkunda Diamonds And Jewellery Limited,L36912MH1990PLC058729,32.0,805000
562,Grace Davison Chemicals India Private Limited,U24118MH1995PTC085349,,1200000
563,Grand Royale Enterprises Limited,U63040TN2004PLC052966,63.0,750000
564,Granules India Limited,L24110TG1991PLC012471,20.0,3097000
565,Grasim Bhiwani Textiles Limited,U17120MH2007PLC173993,17.0,1135000
566,Gravita India Limited,L29308RJ1992PLC006870,27.0,479194
567,Great Eastern Energy Corporation Limited,U48985WB1992PLC095301,48.0,1551004
568,Great Galleon Ventures Limited,,,584000
569,Green Infra Btv Limited,U40109DL2008PLC275062,,592459
570,Green Infra Wind Energy Limited,U23200DL2005PLC213430,23.0,295132
571,Greenpark Hotels And Resorts Limited,U55101TG1986PLC006972,55.0,1283000
572,Greenply Industries Ltd,L20211AS1990PLC003484,16.0,828000
573,Gripwel Fasteners Private Limited,U29214DL2005PTC132107,29.0,2000000
574,Grm Overseas Limited (Ltd. Co. With Part Ix),L74899DL1995PLC064007,74.0,10
575,Gruh Finance Limited,L65923GJ1986PLC008809,64.0,13340522
576,Gsp Crop Science Private Limited,U24120GJ1985PTC007641,,5998000
577,Gujarat Alkalies And Chemicals Limited,L24110GJ1973PLC002247,20.0,9393160
578,Gujarat Ambuja Exports Limited,L15140GJ1991PLC016151,10.0,11000
579,Gujarat Automotive Gears Limited,L29130HP1971PLC000904,29.0,510560
580,Gujarat Credo Mineral Industries Limited,U26900GJ2012PLC069426,26.0,1135000
581,Gujarat Energy Transmission Corporation Limited,U40100GJ1999SGC036018,40.0,14779674
582,Gujarat Industries Power Company Ltd.,L99999GJ1985PLC007868,99.0,41892000
583,Gujarat Intrux Limited,L24129GJ1992PLC016917,20.0,1431840
584,Gujarat Mineral Development Corporation Limited,L14100GJ1963SGC001206,14.0,352188000
585,Gujarat Pipavav Port Limited,L63010GJ1992PLC018106,52.0,6041671
586,Gujarat Polyfilms Private Limited,U17297GJ2004PTC044479,13.0,0
587,Gujarat Power Corporation Limted,U40100GJ1990SGC013961,40.0,17000000
588,Gujarat Road And Infrastructure Company Limited,U65990GJ1999PLC036086,65.0,280000
589,Gujarat State Investment Limited,U64990GJ1988SGC010307,64.0,4199636
590,Gujarat State Petronet Limited,L40200GJ1998SGC035188,40.0,2880900
591,Gujarat Tea Processors And Packers Limited,U01132GJ1980PLC003946,1.0,13077000
592,Gulf Asphalt Private Limited,,,1861950
593,Gulf Oil Lubricants India Limited,L23203MH2008PLC267060,23.0,1000000
594,Gumpro Drilling Fluids Private Limited,U74999MH2008PTC185433,,249057
595,Gupshup Technology India Private Limited,U72100MH2005PTC150425,,115000
596,Gupta H.C. Overseas (I) Private Limited,U74900UP2008PTC035071,,1453957
597,Gvk Biosciences Private Limited,U74999TG2000PTC035826,74.0,5000000
598,H-One India Private Limited,U73200UP1997PTC023702,72.0,500000
599,Hal Offshore Limited,U24298DL1996PLC083879,,1797629
600,Haldex India Private Limited,U99999MH1998PTC118876,,26150000
601,Halliburton Technology India Private Limited,U72900PN2006FTC129234,,1337184
602,Hamilton & Company Limited,U36911WB1920PLC003632,32.0,300000
603,Harbinger Systems Private Limited,U72200PN1997PTC112423,,925000
604,Hardcastle Petrofer Private Limited,U24100MH2004PTC149240,24.0,200000
605,Harirani Investment And Trading Private Limited,U67120MH1990PTC055473,66.0,9300000
606,Harmony Plastics Private Limited,U25209RJ2005PTC020449,25.0,351365
607,Harsha Engineers Limited,U29259GJ1986PLC008520,29.0,7000000
608,Havells India Limited,L31900DL1983PLC016304,31.0,57800000
609,Hcl Technologies Limited,L74140DL1991PLC046369,74.0,1710000
610,Hdfc Asset Management Company Limited,U65991MH1999PLC123027,65.0,2000000
611,Head Infotech India Pvt Ltd,U72200TG2006PTC049254,72.0,3050000
612,Heg Limited,L23109MP1972PLC008290,19.0,10157000
613,Hemani Chemiorganic Private Limited,U24110MH1995PTC095638,,850000
614,Herbal Isolates Pvt Ltd,U15495KL1984PTC004002,15.0,1400000
615,Hero Corporate Service Private Limited,U74899DL1995PTC065253,,554000
616,Herrenknecht India Private Limited,U74900TN2007PTC070272,,130180
617,Hetero Drugs Limited,U24230TG1993PLC015582,,10077582
618,Hetero Labs Limited,U24110TG1989PLC009723,,26100000
619,Hewlett-Packard Globalsoft Private Limited,U72300KA2000PTC026968,63.0,15449152
620,Hi-Tech Systems & Services Ltd.,U74999WB1989PLC046263,,7306717
621,Hikal Limited,L24200MH1988PTC048028,24.0,870000
622,Hillways Construction Company Private Limited,U65993UR1996PTC000283,,5000000
623,Hinduja Global Solutions Limited,L92199MH1995PLC084610,93.0,475000
624,Hinduja National Power Corporation Ltd,U40109TG1994PLC017199,,3399000
625,Hinduja Realty Ventures Limited,U45200MH1968PLC014045,45.0,5000000
626,Hinduja Ventures Limited,L51900MH1985PLC036896,51.0,4010000
627,Hindustan Aeronautics Limited,U35301KA1963GOI001622,35.0,136963000
628,Hindustan Colas Private Limited,U23200MH1995PTC090671,,888402
629,Hindustan Copper Ltd,L27201WB1967GOI028825,24.0,54356000
630,Hindustan Gum And Chemicals Limited,U24299HR1962PLC007739,24.0,50000000
631,Hindustan Media Ventures Limited,L21090BR1918PLC000013,17.0,5900000
632,Hindustan Syringes And Medical Devices Limited,U74899DL1957PLC002834,,10
633,Hindustan Tin Works Limited,L27109DL1958PLC003006,27.0,550000
634,Hindusthan Urban Infrastructure Limited,L31300DL1959PLC003141,31.0,663000
635,Hirotec India Private Limited,U72200TZ2005PTC011837,,877500
636,Hitachi Consulting Software Services India Private Limited,U72200TG1992PTC014347,,8180028
637,Hitachi Hi-Rel Power Electronics Private Limited,U72200GJ1990PTC013246,,1090000
638,Hitachi Home And Life Solutions (India ) Limited,L29300GJ1984PLC007470,27.0,41000
639,Hitesh Plastics Private Limited,U25209MH1989PTC050912,,1134735
640,Hll Lifecare Limited,U25193KL1966GOI002621,25.0,880000
641,Hnb Engineers Private Limited,U29299PN2005PTC020745,,151000
642,Honda Trading Corporation India Private Limited,U51909DL2005PTC135750,,109800
643,Honeycomb Logistics Private Limited,U63011GJ2006PTC070691,63.0,2628796
644,Honeywell Turbo Technologies (India) Private Limited,U29299PN2004PTC019904,,22800000
645,Honour Lab Limited,U24233TG2011PLC077561,,696289
646,Housing And Urban Development Corporation Limited,U74899DL1970GOI005276,74.0,17800000
647,Housing Development Finance Corporation Limited,L70100MH1977PLC019916,68.0,12900000
648,Hsbc Electronic Data Processing India Private Limited,,,7764733
649,Hsbc Investdirect Financial Services (India) Limited,U67190MH1996PLC097473,,4086858
650,Ht Media Limited,L22121DL2002PLC117874,58.0,3300000
651,Htc Holdings Private Limited,U72200TN2005PTC056545,,1200000
652,Hubtown Limited,L45200MH1989PLC050688,45.0,10000000
653,Hughes Communications India Limited,U64202DL1992PLC048053,64.0,3939000
654,Hurix Systems Private Limited,U64200MH2000PTC126681,,1025000
655,Hyderabad Race Club,U92411TG1971NPL001403,,5757000
656,Hyundai Motor India Engineering Private Limited,U50103TG2006PTC073037,50.0,1345000
657,Hyundai Motor India Limited,U29309TN1996PLC035377,27.0,12460000
658,I G Petrochemicals Limited,L51496GA1988PLC000915,46.0,311000
659,I P Support Services (India) Pvt Ltd,U74210DL1967PTC016861,,1700000
660,Ibc Knowledge Park Private Limited,U74210KA2002PTC030904,74.0,8767987
661,Icici Bank Limited,L65190GJ1994PLC021012,64.0,75912830
662,Idfc Alternatives Limited,U67190MH2002PLC137798,66.0,305000
663,Idfc Limited,L65191TN1997PLC037415,64.0,41356289
664,Idfc Securities Limited,U99999MH1993PLC071865,99.0,38000
665,Ifb Agro Industries Ltd.,L01409WB1982PLC034590,1.0,805000
666,Ifb Industries Ltd,L51109WB1974PLC029637,51.0,160000
667,Ifci Infrastructure Development Limited,U45400DL2007GOI169232,45.0,1444265
668,Ifci Venture Capital Funds Limited,U65993DL1988GOI030284,65.0,735705
669,Ifm Electronic India Private Limited,U31200PN2009FTC133682,,1899884
670,Ifmr Capital Finance Private Limited,U65910TN1989PTC017021,64.0,1957130
671,Igarashi Motors India Limited,L29142TN1992PLC021997,29.0,480000
672,Igopl Offshore Private Limited,U11101MH2008PTC183100,,540000
673,Iic Technologies Limited,U72200TG1994PLC017822,,500000
674,Il&Fs; Milestone Realty Advisors Private Limited,,,109147
675,Il&Fs; Rail Limited,,,2630000
676,Imi Mobile Private Limited,U72200TG1987PTC007601,,550000
677,Impetus Infotech (India) Private Limited,U72100MP2000PTC014455,,671000
678,Ims Health Technology Solutions India Private Limited,U72200KA2004FTC033439,,1200000
679,Inani Marbles And Industries Ltd.,L14101RJ1994PLC008930,14.0,953000
680,Indag Rubber Limited,L74899DL1978PLC009038,74.0,2392000
681,Indapur Dairy And Milk Products Limited,U15204PN2001PLC016485,,839014
682,India Index Services And Products Limited,U73100MH1998PLC114976,72.0,3889414
683,India Infoline Finance Limited,U67120MH2004PLC147365,66.0,13700000
684,India Infrastructure Finance Company Limited,U67190DL2006GOI144520,67.0,13900000
685,India Motor Parts & Accessories Limited,L65991TN1954PLC000958,65.0,4575000
686,India Ratings And Research Private Limited,U67100MH1995FTC140049,67.0,3250000
687,Indiabulls Commercial Credit Limited,U65923DL2006PLC150632,65.0,0
688,Indiabulls Housing Finance Limited,L65922DL2005PLC136029,65.0,36533659
689,Indiabulls Real Estate Limited,L45101DL2006PLC148314,45.0,1890000
690,Indian Machine Tool Manufacturers Association,U29290MH1973GAP016420,29.0,1155826
691,Indian National Press (Bombay) Private Limited,U51396MH1935PTC002419,51.0,11500000
692,Indian Potash Limited,U14219TN1955PLC000961,14.0,500000
693,Indian Railway Catering And Tourism Corporation Limited,U74899DL1999GOI101707,74.0,613794
694,Indian Renewable Energy Development Agen Cy Limited,,,2770000
695,Indian Sugar Exim Corporation Ltd.,U99999DL1969GAP005106,99.0,681412
696,Indiana Gratings Private Limited,U31300MH1997PTC105716,,271000
697,Indianoil Petronas Private Limited,U74899DL1998PTC097297,74.0,19700000
698,Indo Count Industries Limited,L72200PN1988PLC068972,72.0,627314
699,Indo Farm Equipment Limited,U29219CH1994PLC015132,,1100000
700,Indo Rama Synthetics (India) Limited,L17124MH1986PLC166615,13.0,1800000
701,Indo- National Limited,L31909TN1972PLC006196,31.0,46056
702,Indo-Mim Private Limited,U28110AP1996PTC023794,,12600000
703,Indoco Remedies Limited,L85190MH1947PLC005913,85.0,1206474
704,Indofil Industries Limited,U24110MH1993PLC070713,20.0,16600000
705,Indsil Hydro Power And Manganese Limited,L27101TZ1990PLC002849,27.0,66000
706,Indus Tmt Industries Limited,U27104KA2005PLC036259,,0
707,Indusind Bank Ltd.,L65191PN1994PLC076333,64.0,15050000
708,Induss Food Products & Equipments Limited,L35204WB1987PLC031664,,312000
709,Industrial And Prudential Investment Company Limited,L65990MH1913PLC000374,65.0,0
710,Infina Finance Private Limited,U67120MH1996PTC098584,66.0,40500002
711,Infinera India Private Limited,U72900KA2002PTC030982,,1960000
712,Infinity Infotech Parks Limited,U17122WB1991PLC053828,13.0,0
713,Infosoft Global Private Limited,U72200WB2005PTC101108,,1005000
714,Infosys Limited,L85110KA1981PLC013115,86.0,1188000000
715,Infrastructure Leasing And Financial Services Limited,U65990MH1987PLC044571,65.0,6286842
716,Ingenero Technologies (India) Private Limited,U51900MH2000FTC128454,,1024000
717,Inspiron Engineering Private Limited,U28920GJ1996PTC050337,,636000
718,Intas Pharmaceuticals Limited,U24231GJ1985PLC007866,21.0,250000
719,Intec Capital Limited,L74899DL1994PLC057410,74.0,235000
720,Integral Biosciences Private Limited,U73100DL2007PTC162147,,675000
721,Intellect Design Arena Limited,L72900TN2011PLC080183,72.0,0
722,Intense Technologies Limited,L30007TG1990PLC011510,,500000
723,International Combustion (India) Ltd,L36912WB1936PLC008588,32.0,300000
724,International Conveyors Ltd.,L21300WB1973PLC028854,21.0,2950000
725,Interocean Shipping (India) Private Limited,U74899DL1974PTC007267,,400000
726,Intertek India Private Limited,U74220DL1997PTC202243,,373372
727,Intrasoft Technologies Limited,L24133MH1996PLC197857,20.0,123800
728,Invesco (Hyderabad) Private Limited,U72200TG2009PTC064852,,3531000
729,Iqor India Services Private Limited,U74140DL2004PTC129563,,2046703
730,Iquest Enterprises Private Limited,U64204TG2001PTC036950,,1500000
731,Ireo Private Limited,U70101DL2004PTC125163,,36923530
732,Itares Shoes Private Limited,U19201TN2006PTC060594,,0
733,J B Chemicals And Pharmaceuticals Limited,L24390MH1976PLC019380,24.0,9250000
734,J G Hosiery Private Limited,U18101TZ2001PTC009707,14.0,5163000
735,J K Technosoft Limited,U64202DL1988PLC030870,64.0,1500000
736,J M Financial Investment Managers Limited,U74100MH1985PLC035954,74.0,1250000
737,J M Mhatre Infra Private Limited,U45202MH2010PTC199433,,2500000
738,J Mitra And Co Private Limited,U52110DL1969PTC005010,,3500000
739,J V Gokal And Company Private Limited,U51900MH1950PTC008051,51.0,145099
740,J. K. Cement Limited.,L17229UP1994PLC017199,17.0,1651657
741,J. M. Huber India Private Limited,U24110MH1992PTC068071,,3507270
742,J. P. Morgan Services India Private Limited,U72900MH2000PTC124073,72.0,4859180
743,J.S.Four Wheel Motors Private Limited,U51104RJ1985PTC003338,51.0,789225
744,Jade Blue Lifestyle India Limited,U17119GJ1995PLC024338,,0
745,Jagruti Sugar & Allied Industries Limited,U15424MH2009PLC193824,,1154010
746,Jai India Weaving Mills Private Limited,U17115TZ2003PTC010472,,817331
747,Jaigad Powertransco Limited,U40102MH2008PLC181433,40.0,3570341
748,Jaiprakash Associates Limited,L14106UP1995PLC019017,14.0,13500000
749,Jaiprakash Power Ventures Limited,L40101HP1994PLC015483,40.0,53062102
750,Jammu And Kashmir Bank Limited,L65110JK1938SGC000048,64.0,137461812
751,Jamnalal Sons Private Limited,U17110MH1938PTC010292,17.0,6500000
752,Jay Jay Mills India Private Limited,U17111TZ1999PTC009101,,1490000
753,Jbm Auto Limited,L74899DL1996PLC083073,74.0,4528000
754,Jehan Numa Palace Hotel Pvt Ltd,U55101MP1972PTC001137,,1800000
755,Jekay International Track Pvt. Ltd.,U51900WB2006PTC107247,,1010000
756,Jenburkt Pharmaceuticals Ltd,L24230MH1985PLC036541,21.0,2000000
757,Jet Age Finance Pvt. Ltd.,U65999WB1986PTC040316,,750000
758,Jet Age Securities Pvt Ltd,U67120WB1995PTC071292,,840000
759,Jetair Private Limited,U74899DL1974PTC007361,74.0,220000
760,Jhajjar Power Limited.,U40104HR2008SGC037809,40.0,5894974
761,Jinabakul Forge Private Limited,U29222KA1981PTC004417,,3610000
762,Jindal India Thermal Power Limited,U74999DL2001PLC109103,74.0,246000
763,Jindal Saw Limited,L27104UP1984PLC023979,27.0,52493000
764,Jivraj Tea Limited,U01130GJ1981PLC004892,,10000000
765,Jk Tyre & Industries Limited,L67120RJ1951PLC045966,66.0,3000000
766,Jm Financial Institutional Securities Limited,U65192MH1995PLC092522,64.0,99400000
767,Jms Mining Services Private Limited,U10101WB2009PTC132132,10.0,10800000
768,Jocil Limited,L28990AP1978PLC002260,28.0,4000000
769,Johnson Controls Automotive Limited,U34300PN1996PLC015038,,650000
770,Johnson Lifts Private Limited,U27209TN1981PTC008718,,12800000
771,Johnson Matthey Chemicals India Private Limited,U24110MH2002FTC137100,,4388900
772,Joonktollee Tea & Industries Ltd.,L01132WB1900PLC000292,1.0,997000
773,Joy Global (India) Limited,U29241WB1988PLC045761,,6100000
774,Jsw Energy Limited,L74999MH1994PLC077041,74.0,7700000
775,Jsw Holdings Limited,L67120MH2001PLC217751,66.0,1496069
