,Unnamed: 0,Unnamed: 0.1,name,CIN,NIC,amount
0,980,980,Dr.Reddy'S Laboratories Ltd,,,500000000
1,3021,3021,Reliance Infrastructure Limited,L99999MH1929PLC001530,99.0,321700000
2,3401,3401,Sopariwala Exports Private Limited,U16000MH1992PTC065576,,144000000
3,2580,2580,Nlc India Limited,,,105355000
4,690,690,Cg Power And Industrial Solutions Limited,,,104500000
5,1641,1641,Il&Fs; Tamil Nadu Power Company Limited,,,100100000
6,2850,2850,Prescient Securities Private Limited,U65929MH2003PTC141455,,80000000
7,3472,3472,Standard Chartered Global Business Services Private Limited,,,74100000
8,1639,1639,Il&Fs; Financial Services Limited,,,67180462
9,865,865,Danfoss Industries Private Limited,U29199TN1999PTC041877,,66893877
10,573,573,Borsad Tobacco Company Private Limited,U16003MH1991PTC061695,,60329000
11,131,131,Al-Faheem Meatex Private Limited,U01214UP1996PTC020905,,54200000
12,123,123,Ajeet Seeds Private Limited,U01100MH1986PTC039814,,45200000
13,2899,2899,Qualcomm India Private Limited,U64202DL1996PTC076991,,45030000
14,2558,2558,Nidec Industrial Automation India Private Limited,,,41540000
15,3177,3177,Sap India Private Limited,U72200KA1996PTC020063,,40310000
16,1020,1020,Eaton Technologies Private Limited,U29299PN2005PTC020272,,37514300
17,2315,2315,Mercedes-Benz India Private Limited,U34102PN1994PTC083160,,37000000
18,826,826,Credit Suisse Securities (India) Private  Limited,,,35255442
19,895,895,Dell International Services India Private Limited,U74999KA1996FTC055568,,35000000
20,2617,2617,Nuvoco Vistas Corporation Limited,,,34400000
21,129,129,Akums Drugs And Pharmaceuticals Limited,U24239DL2004PLC125888,,32000000
22,3383,3383,Soex India Private Limited,U16000MH2002PTC135666,,31000000
23,2918,2918,R.K. Marble Private Limited,U14101RJ1989PTC004974,,30200000
24,460,460,Bengal Finance And Investment Private Limited,U65923MH1997PTC106632,,29500000
25,3624,3624,Target Corporation India Private Limited,U72900KA2004PTC033455,,28900000
26,1580,1580,Honeywell Turbo Technologies (India) Private Limited,U29299PN2004PTC019904,,27160000
27,372,372,Avaya India Private Limited,U72200MH2000PTC209895,,27037000
28,2099,2099,Laurus Labs Limited,U24239AP2005PLC047518,,26650326
29,2947,2947,Rajasthan Gum Private Limited,U24139RJ1998PTC015012,,26430000
30,1590,1590,Hsbc Software Development (India) Private Limited,U72200PN2002PTC016894,72.0,26390000
31,1758,1758,Ireo Private Limited,U70101DL2004PTC125163,,23902833
32,896,896,Deloitte Consulting India Private Limited,U72900TG2000PTC039976,,22506784
33,2793,2793,Pnb Housing Finance Limited,U65922DL1988PLC033856,64.0,21771000
34,1648,1648,Inautix Technologies India Private Limited,U72900TN2000PTC044462,,21550000
35,1688,1688,Indo-Mim Private Limited,U28110AP1996PTC023794,,21300000
36,1855,1855,Juniper Networks India Private Limited,U72200MH2000FTC126336,,20142895
37,2423,2423,Motherson Sumi Systems Limited,L34300DL1986PLC026431,29.0,20000000
38,2353,2353,Microsoft India (R&D;) Private Limited,U72200DL1998PTC093824,72.0,19490688
39,3847,3847,Unitedhealth Group Information Services Private Limited,U74999DL2002PTC186567,,19320000
40,976,976,Dow Chemical International Private Limited,U24239MH1998PTC113551,21.0,18200000
